"latitude"	"sighted"
40.3215892729349	1
45.1461016088724	1
44.1741719637066	1
39.9413955002092	0
40.7040424444713	1
43.9052680926397	1
35.0942269270308	0
39.9282346535474	1
42.8277839575894	0
35.2264317492954	0
43.3333247951232	1
40.9200085974298	1
38.0785898449831	1
42.7705513099208	1
39.3308945074677	0
38.7267128825188	0
35.3679303117096	0
36.7887900383212	0
46.8193853045814	1
39.5278687318787	0
36.6015183213167	0
45.0831897128373	0
47.945972233545	1
47.0470630796626	1
46.195404285565	1
45.1421303180978	1
39.4879043665715	1
40.6472122892737	0
36.0780559228733	1
41.9186266409233	1
47.8998262588866	1
45.4451486188918	1
42.1934487172402	1
40.6193752661347	1
42.9844539579935	1
41.8919371017255	1
36.9688239186071	0
42.1946659702808	0
38.9290893259458	1
47.0662479293533	1
39.6141586643644	1
46.7230509752408	0
45.7684194510803	0
46.4573358590715	0
44.183840952348	0
46.4238190725446	0
37.7955237822607	0
44.2263668416999	0
35.2699869740754	0
36.5318421865813	0
43.880441613961	1
42.778076059185	1
46.2735709063709	0
43.1961167324334	0
37.36001643911	1
45.9852843945846	0
48.417456434574	1
45.4794627432711	1
39.9927068199031	1
35.045157068409	0
48.0122090587392	1
43.6330327275209	0
40.1207277877256	1
43.1540914732032	1
38.5069683240727	0
48.6702347286046	0
46.5495516895317	1
37.4718399355188	0
37.6167225502431	0
39.6392151424661	1
40.3576720720157	0
45.9345451951958	1
38.7439351063222	1
35.1703547704965	0
48.9611345827579	1
36.9294402073137	0
36.4671966405585	0
40.049520181492	1
40.9676949032582	0
38.403991594445	0
43.5899878074415	1
43.6922718202695	1
43.6892115469091	0
44.9257168592885	0
36.3702624123544	1
37.4586497815326	0
40.8995342939161	1
41.7394099789672	0
47.156888384372	1
42.2974203606136	1
41.3488357383758	0
35.0841976907104	0
38.5017480477691	0
46.3094104914926	1
39.4967512050644	1
35.0384515062906	0
45.5656558745541	1
36.8039039666764	1
43.0927769518457	1
46.5356545676477	1
