"soilMoisture"	"oakDensity"
110.5349960085	130
20.9639368019998	42
48.9992013201118	104
98.8862902903929	145
27.6233022939414	61
164.967287769541	100
65.8814316755161	113
122.054495946504	141
186.88544052653	46
68.3487403858453	119
105.796032282524	139
48.7226754613221	95
31.0138202225789	64
158.520786408335	112
61.9210429443046	115
79.8733228165656	139
187.899178448133	49
85.3833749471232	138
108.04852199275	149
115.007898556069	142
32.2142925718799	60
144.749764576554	113
191.158308284357	40
117.794565111399	131
187.021368886344	47
114.945279830135	121
62.7981164073572	117
166.600373359397	84
33.4163649007678	75
105.63688554801	130
114.095044843853	133
189.738617399707	41
187.817009561695	55
169.942379766144	95
49.6565578179434	96
60.9088236559182	109
146.622417825274	119
194.653320717625	30
179.767303299159	59
24.1345030721277	54
