"latitude"	"sighted"
42.2944533876143	1
42.0096620162949	1
43.524469293654	0
40.8758657169528	1
37.0704571041279	1
38.2117728982121	0
47.4142344356515	1
42.6567431101575	0
41.6828827573918	1
43.6095388503745	1
40.8890416785143	0
39.9511457872577	0
47.1682478361763	1
37.4156152596697	1
45.6407737415284	1
41.4142096485011	1
39.036698536016	0
35.7970781838521	0
46.6742426073179	1
46.0468959659338	1
39.4444438209757	0
44.4175331504084	1
38.5164581341669	0
36.3778118696064	0
37.8783314302564	0
37.0923716551624	0
47.4844060568139	1
35.9373305607587	0
41.6558194006793	1
45.2669042195193	1
45.5070158527233	1
40.7474766816013	1
46.938945540227	0
35.8812330332585	1
36.9922059024684	0
46.782256972976	1
39.8398886872455	1
43.1524409730919	1
40.0756571972743	0
45.6647587665357	1
46.0062659876421	1
36.8594808890484	0
39.7021362697706	1
42.408010198269	1
39.5037683518603	0
37.4713034722954	0
37.1106031676754	0
37.4920671298169	0
44.2055754479952	1
47.3790531619452	1
