"year1"	"year2"	"year3"	"year4"	"year5"	"year6"	"year7"	"year8"	"year9"	"year10"	"year11"	"year12"	"year13"	"year14"	"year15"
"aspen1"	6.43032194414314	5.41129712748801	8.34626435338748	10.2372697210807	15.0092005658872	6.57836237732149	11.4496366200935	14.2745556037331	19.613975730661	15.0165680762686	19.9690803120824	14.3251788496564	21.3344655726902	16.4578571417019	20.7165305092452
"aspen2"	4.10351706465061	4.5660243151436	6.12640733041797	4.10821519509088	12.5328728339196	10.6433721487683	9.10820711542677	14.7601400291035	13.6350316108181	11.457807223974	13.8090175492925	20.0839715286151	24.6781363108689	16.102059362885	25.5302104927403
"aspen3"	5.30269763348894	6.036980445269	1.3403335395422	7.3043716511111	9.19891945760469	8.45507518756804	9.06498372586561	9.96694384584062	11.0494039696101	8.29673417648093	8.28271536834451	15.3700378347652	13.711186558221	21.7751935322453	18.8689293428949
"aspen4"	-2.23129768897016	6.00668105371462	6.81165592079667	5.64001491277362	3.37639748679895	7.18531515110863	8.86365970463348	11.0487595071229	13.8690635025006	13.9946280138142	12.9432912700513	23.5809390809833	14.6458443941566	17.3961795070528	19.2764307681771
"aspen5"	-0.275190319821413	8.3870192897669	3.73738949604092	5.67241954640309	5.95046574435019	9.78633654996061	5.75117529720492	9.47651965096027	4.92393120482725	12.5252741229851	12.3581352175227	8.53267273519365	18.181421145692	12.8884261114183	10.9055894520494
"aspen6"	9.32474658757743	7.40367628140091	4.36659803159899	6.69568627591004	11.2412074987733	6.6570972572756	15.87097574368	15.3320545142955	13.8820343084078	13.6700399333986	15.7892765827338	20.5102934784564	14.4270788872461	21.1416499711919	21.9039955547906
"aspen7"	7.95936945267669	2.83106649449913	9.08761208037298	5.40303995400235	4.77337429032388	10.0995520233411	14.3182992053309	9.95877979050155	11.56371114391	14.977386201469	19.2935004286656	15.9832320164581	13.3532310765938	16.3867144295485	19.9570598632619
"aspen8"	6.53890043135236	4.31778967528447	2.34054081454924	1.31002818760477	4.57466972085414	7.54678025236989	9.06761149722218	4.54474761283428	8.49966170271972	10.5726552289687	11.5069909158248	11.2825653088282	16.2876540070342	17.2141842664037	19.5056844401429
"aspen9"	2.66965573891064	6.64493031421071	4.06014988261358	13.1805306709683	8.19873302768292	7.58064686097446	7.93554362071631	13.4584163058841	14.8973969709239	14.5085723980862	11.4645116767927	14.3659872706532	17.4875208547202	17.9642818785186	15.1492279990097
"aspen10"	3.26565826406733	8.14693555981841	2.90501735886947	7.32979366713071	10.5909779910422	10.1026474401954	9.30341374648028	12.0772634816171	12.2176763661875	10.2959765882821	14.8369048273303	16.3570324193196	16.2360333730156	21.10649173188	21.3127949925719
"aspen11"	2.34465581271626	2.15668080798519	4.0196039648436	7.09007244898517	1.27834249988907	5.60121509030346	4.56438042612176	9.89958408080357	8.95802268060933	9.53738958960286	9.82451266163863	12.0914713136426	14.1858906980335	5.57354928627731	10.3051645311638
"aspen12"	8.48192036828248	8.85440458774627	6.19132854110266	4.87156107302808	11.8438541161974	7.68240050844766	9.46725247823842	13.9742052615589	16.9858918302254	12.8156565271429	15.7058956107558	15.5304957482421	14.4236396748667	18.4638191093844	13.1925381635544
"aspen13"	7.73143987822426	2.04776671598501	4.74929991148634	9.72600562002899	8.44842441100406	13.8304516006428	12.043524882029	12.5076674029501	16.3316487024139	19.5152046194166	11.2777216639338	15.9388476821778	12.0183353254668	12.8255697109889	19.6827711556511
"aspen14"	2.1259351498321	8.14522437760945	10.6280201830652	5.65882393691449	11.890443639607	10.1661942834721	13.4910173002523	18.7122949808688	16.5338270586097	19.4596915231645	25.4175235515435	19.8365066329517	18.4407278532233	23.7404897140367	28.4020427706415
"aspen15"	2.66957532395025	3.52810649513076	7.8514956519673	8.2845114095219	10.6583651878112	9.04298434119029	9.31854334911137	11.3883028518715	8.89775625748067	15.0639198610045	10.0240043092797	12.16951259696	8.85995910871813	8.71013108515151	11.6864941502013
"aspen16"	8.58357863006088	6.54530242569628	4.71524236381221	1.37880999982324	10.8781237978108	5.57027113955419	9.45155156921032	11.3700479155054	16.0231225503407	12.8199329100309	15.5831028368052	13.8608369227924	20.4957255596747	18.4620883115761	17.4945195994683
"aspen17"	6.00309904611101	0.280373685542592	-1.13621684202696	7.81179097088621	5.525759759111	8.61993793074748	10.6258691923009	7.54981849898641	9.02577200482757	11.379444600518	9.22318107018715	15.9684008117787	13.042942769771	11.0276953529605	14.757425263325
"aspen18"	-0.392859447688769	5.63984296450461	6.03380596576333	4.47376481078839	8.37001818346912	10.3400193216044	8.19786205127807	11.4208378348422	11.247351345696	17.6682387424139	9.79374817578884	16.6625400470585	15.5971929740192	20.5086530053188	16.1758262466732
"aspen19"	10.8022673650647	9.17636541394158	4.36263098404495	10.2362103559711	12.4932376941083	9.64207906453099	5.51576051316297	14.436442355088	9.72860208727216	14.1121532792475	18.0622382548877	19.5668851179467	18.958766539461	22.1255407781628	23.3811608611123
"aspen20"	6.52179071460794	1.94066174722251	2.79010888660815	8.34239482829727	3.48294243263057	2.31139300671479	7.23854555644708	8.38120071979317	10.7321968389031	12.146766024221	12.9164048154104	12.9584207242813	13.8489694171911	12.8580853848064	18.3986276616092
"aspen21"	3.02383333109296	5.24892730159843	3.90660644349724	8.60367808780533	12.6220217134523	12.6640736462399	7.12508070991061	14.394859839719	15.5984481300326	8.81117233548349	12.2807496374188	10.0863017726102	11.3833825260351	21.6431838038658	18.1007086636767
"aspen22"	2.55274764257893	3.3823739210716	7.62599253907854	4.39502912410349	6.83029150660285	7.89938237469714	7.23989508600976	13.4118609849849	13.9518078540256	15.7061379956533	19.9667311826891	12.423527436984	13.7973138731569	22.6942905886062	26.5957892659188
"aspen23"	1.23469499670286	3.81164889401362	12.3443036876175	8.03986619302476	9.35166744725337	8.34431905837319	14.4623322800363	11.2106916570324	15.9805331587546	9.86361138149753	14.4440264253097	13.5994949180498	8.94291570146051	14.1212247111387	17.0427956284957
"aspen24"	10.4827430415325	7.43829601084105	6.8046144210311	5.70144312914443	9.82099087907665	6.69643276880902	13.914297098428	14.6984902963781	16.7173622521698	20.8930462048705	15.6178087208618	21.5788266140822	20.9290044620902	18.8118517105317	20.6202281719981
"aspen25"	4.82366044784186	2.88773066395813	5.88851675389438	8.08162041902499	9.77122211272502	10.5740929180014	4.61573224115785	11.2299332794339	8.33692111026165	10.2484363082356	7.1161435752824	13.1643772067935	11.0089344939184	11.9420419581752	15.6528286967667
"aspen26"	7.57725726677613	9.21886510808118	3.21793783141781	6.31403500828867	9.38249372994878	14.4077053660949	8.92070481692493	9.2764337742254	9.49673976065733	9.10389439643171	15.6948301626404	10.7890475083439	10.7244976337006	10.3255307245078	15.7185955968751
"aspen27"	3.34434428985686	6.70239410015271	4.97491136132018	7.0964864321098	13.2554830102136	10.914643327742	13.7430060939435	13.2596629730481	16.2636491386013	12.0968716558588	13.748213803632	21.8963511012714	20.8347483787536	22.6449826994024	21.411856187336
"aspen28"	1.21036155225584	14.0883884226143	4.84677069757095	8.68514436767288	9.09129348891035	7.80443766163701	9.21486854950855	16.8247224807527	15.137390496842	15.4660422065331	15.6755997704857	18.7165220383465	18.2417002182568	17.6518993215216	18.9838360487656
"aspen29"	0.51984719387142	4.49898477089103	4.82126376137041	6.945561270804	7.31510333028292	6.91005493035118	11.1766624313119	16.5230170488726	11.23858809704	14.9874309773758	14.2105313528638	17.5703602151749	17.1275834895081	11.5162268605813	15.5720795751255
"aspen30"	7.65878218590072	6.27949812356675	7.91498662896757	7.98817274420133	13.225290062644	5.69262561859546	12.0996648847913	12.2392891592531	20.1873723071916	14.1961881656849	13.9557751314227	17.3119755408256	19.4167834068906	12.2537162573955	21.7923163249804
"aspen31"	8.48969085971017	9.39263732925278	6.67249059492974	7.79806503968784	4.72467841984336	6.56051222956869	8.28732602748845	10.0022383914808	12.5154830643862	12.8315448617444	14.4503073701742	7.37955538963361	9.53834850364068	13.3238702216185	10.8609530978846
"aspen32"	9.45413128404949	7.95481427814149	6.08716986609152	2.02283527623749	-0.108389444579295	9.31672391230253	10.4014506884037	12.1821659879772	15.0887982332211	10.9433741395546	10.3095540584866	15.4722476530651	13.120643140359	15.3485368320237	14.9599900977494
"aspen33"	7.34922674161492	0.227285923948132	3.34872458441925	10.6833727799053	10.4015180974296	10.4883968796887	16.1578407845707	14.1694406698304	12.8461172272397	16.6121895283427	14.3995778889941	14.8350805012428	21.0769567980562	17.1509869006429	24.2874284383026
"aspen34"	2.92929016403772	5.51192760635511	8.97503060657707	4.7741820542162	3.2488639743698	6.03201468713991	13.3223786594504	12.9267203701221	13.7629728477845	18.3607640986988	11.9463319841045	13.9723876124273	21.9714016793943	14.7899745628775	16.4439597051876
"aspen35"	4.82555235518175	6.68354056840849	3.06072417663133	6.04408018776053	6.05721912294188	14.0927854163768	5.85009553575741	8.40920844277671	11.8875886598614	10.4104110991821	8.24316523472211	17.620526997599	9.25676844791384	16.8733355603945	16.8690424918218
"aspen36"	2.89954875802907	1.99864450771692	7.12055968751812	5.98373819266839	15.4219429201948	14.3453159555772	8.83093820195976	14.0592841877456	13.383765728206	15.5251786473575	16.2980973433527	13.3999287945934	18.4233473575638	19.97515684972	16.3043460388617
"aspen37"	-0.642858516004391	5.33605061942716	4.28630650077037	8.33118154634963	8.76310162948011	7.6753208738501	13.7862811668738	13.4674062902207	11.4463412816145	8.76772009181098	10.2623962534295	15.0133026049767	9.62683577077076	13.2848853808849	11.6162593592192
"aspen38"	2.51233375916946	-0.582836407863724	2.02115439508518	0.0395280347850226	4.15246350489274	7.95092856688987	6.86591277252419	9.58862446900933	7.06932509969377	7.28163081985997	7.29107949079861	16.0123065712979	12.1349329934825	13.5387121078506	18.9424948890991
"aspen39"	5.89457625115899	5.99773892053692	9.07063311072173	11.6233578620778	9.0975714939406	11.2024919380102	11.2966687736371	7.99117110161055	18.392997755872	10.7872962959723	8.37857519203448	10.3612105010901	17.6183002801217	19.5417424799745	16.8541810864651
"aspen40"	4.36347851057098	5.18174655550223	5.72557818935126	3.67776351923857	5.72236416393923	6.1411183706775	9.26162606714238	9.10314587298601	4.60261700163668	13.2020186326244	18.8198692873036	7.1066121534706	13.6007007271318	14.7410942817051	16.8024252625773
